Datetime,Open,High,Low,Close,Volume,Ticker,Returns,Log_Returns,SMA_5,EMA_2,RSI,MACD,MACD_Signal,MACD_Diff,BB_High,BB_Low,Volume_EMA,Volatility
2025-03-17 16:00:00,214.105,241.84,213.6,213.99,16829569.0,AAPL,-0.000747139855241663,-0.0007474191033235529,213.58424,214.02808554537134,55.52120200519795,0.1470941674903372,-0.09303598063572556,0.24013014812606276,214.82607290804472,211.1407070919553,5317185.680581299,0.00506352081642439
2025-03-17 16:00:00,193.9594,194.1488,193.451,193.5108,12916578.0,AVGO,-0.002107575566149933,-0.002109799629003252,193.447,193.70678515125587,48.97934052379339,-0.06647609085541717,0.0075335843677558,-0.07400967522317296,196.2083762998291,191.7020137001709,2978469.768764176,0.006971260368544312
2025-03-17 16:00:00,399.28,399.94,396.0,397.5,1208814.0,ADBE,-0.004582675982270246,-0.004593208632650857,396.245,397.8362911948467,57.88868027837236,0.7248209254477729,-0.4195629867871664,1.1443839122349393,398.8775256865273,388.57297431347274,491111.9732751192,0.009026202073124127
2025-03-17 16:00:00,164.2988,164.45,163.7,164.18,14492895.0,GOOGL,-0.00024357569114596966,-0.00024360536052255203,164.649,164.29586103152852,44.825712030756115,-0.0635066612217372,0.03017215379344378,-0.09367881501518098,165.97314570619824,163.95416429380174,3496434.0683462513,0.005467595365100614
2025-03-17 16:00:00,157.91,157.95,157.29,157.63,2984806.0,QCOM,-0.0013937282229965486,-0.0013947003655496665,157.551,157.71920465038332,62.67382177502984,0.8125656367491843,0.7187438828091204,0.09382175394006387,157.98851872551492,155.03360127448505,680027.8923037787,0.0050646092400585185
2025-03-17 16:00:00,60.4575,60.666,60.3979,60.4873,8075925.0,CSCO,0.0004929082413265284,0.0004927868019633479,60.442600000000006,60.488862447311114,61.957854676388386,0.18304924539555856,0.12326460972340085,0.05978463567215771,60.60412135598127,59.52646864401871,1849698.1609207045,0.004243961014985826
2025-03-17 16:00:00,604.71,605.55,603.0,603.51,2989496.0,META,-0.0019844222850623483,-0.001986393859687943,603.2430400000001,603.8724816104111,49.65663567152442,0.08247110090451315,0.17961128068187837,-0.09714017977736522,618.8199267396622,589.0779432603379,1379325.5937401059,0.012611041821449934
2025-03-17 16:00:00,195.795,196.46,195.51,196.0609,14277721.0,AMZN,0.0010768445238702462,0.001076265142704272,196.44066,196.16097313769006,45.99146978994874,-0.19323980420085718,-0.007694246606156023,-0.18554555759470115,199.6017374068991,194.9330725931009,4626327.822617439,0.005892536103831895
2025-03-17 16:00:00,104.59,104.99,104.59,104.85,7458383.0,AMD,0.002485897313318608,0.002482812581752066,104.83782000000001,104.85676117610515,65.6098072372638,1.382334093326378,1.1864781355307785,0.1958559577955994,106.53875254208077,98.70992745791924,3572687.8380738404,0.007352749357313259
2025-03-17 16:00:00,25.7,25.76,25.65,25.7401,18701925.0,INTC,0.001560311284046767,0.0015590952631449602,25.817520000000002,25.73807957660338,72.53392769530643,0.5896310703905989,0.5043565463515104,0.08527452403908853,26.405352878322386,23.082277121677617,13386539.227513082,0.018330924253186255
